State,Year,Month,Time,Gender,Road_User,Age Group,Fatality
Australian Capital Territory,1989,1,12:15:00 AM,Female,Driver,17 - 25,1
Australian Capital Territory,1989,1,10:10:00 PM,Female,Passenger,>= 75,1
Australian Capital Territory,1989,2,3:20:00 PM,Male,Driver,17 - 25,1
Australian Capital Territory,1989,2,11:04:00 PM,Female,Driver,26 - 39,1
Australian Capital Territory,1989,3,8:30:00 PM,Male,Pedestrian,0 - 16,1
Australian Capital Territory,1989,3,9:10:00 PM,Male,Passenger,26 - 39,1
Australian Capital Territory,1989,3,10:20:00 PM,Male,Motorcycle rider,17 - 25,1
Australian Capital Territory,1989,4,12:55:00 AM,Female,Passenger,26 - 39,1
Australian Capital Territory,1989,4,12:55:00 AM,Female,Passenger,40 - 64,1
Australian Capital Territory,1989,4,12:55:00 AM,Male,Driver,26 - 39,1
Australian Capital Territory,1989,4,12:55:00 AM,Male,Passenger,40 - 64,1
Australian Capital Territory,1989,4,10:55:00 AM,Female,Passenger,40 - 64,1
Australian Capital Territory,1989,4,10:55:00 AM,Male,Driver,40 - 64,1
Australian Capital Territory,1989,4,5:15:00 PM,Male,Passenger,65 - 74,1
Australian Capital Territory,1989,4,8:10:00 PM,Male,Pedestrian,17 - 25,1
Australian Capital Territory,1989,6,1:05:00 AM,Male,Pedestrian,26 - 39,1
Australian Capital Territory,1989,6,6:00:00 PM,Female,Driver,17 - 25,1
Australian Capital Territory,1989,7,7:10:00 PM,Male,Driver,40 - 64,1
Australian Capital Territory,1989,8,5:20:00 AM,Male,Motorcycle pillion passenger,17 - 25,1
Australian Capital Territory,1989,8,5:20:00 AM,Male,Motorcycle rider,26 - 39,1
Australian Capital Territory,1989,9,12:15:00 AM,Female,Pedestrian,40 - 64,1
Australian Capital Territory,1989,9,8:50:00 PM,Female,Passenger,17 - 25,1
Australian Capital Territory,1989,9,8:55:00 PM,Male,Driver,17 - 25,1
Australian Capital Territory,1989,9,9:20:00 PM,Male,Driver,17 - 25,1
Australian Capital Territory,1989,9,11:40:00 PM,Male,Driver,17 - 25,1
Australian Capital Territory,1989,10,4:45:00 PM,Male,Passenger,17 - 25,2
Australian Capital Territory,1989,11,4:55:00 AM,Male,Passenger,17 - 25,1
Australian Capital Territory,1989,11,10:45:00 PM,Male,Motorcycle rider,17 - 25,1
Australian Capital Territory,1989,12,1:10:00 AM,Male,Motorcycle pillion passenger,17 - 25,1
Australian Capital Territory,1989,12,3:10:00 PM,Male,Passenger,17 - 25,1
Australian Capital Territory,1989,12,6:00:00 PM,Female,Pedestrian,0 - 16,1
Australian Capital Territory,1990,1,1:45:00 AM,Male,Driver,40 - 64,1
Australian Capital Territory,1990,1,3:20:00 AM,Male,Driver,26 - 39,1
Australian Capital Territory,1990,5,1:50:00 AM,Male,Motorcycle rider,26 - 39,1
Australian Capital Territory,1990,5,4:20:00 PM,Female,Passenger,40 - 64,1
Australian Capital Territory,1990,5,7:55:00 PM,Male,Passenger,0 - 16,1
Australian Capital Territory,1990,6,3:30:00 PM,Male,Pedal cyclist,17 - 25,1
Australian Capital Territory,1990,7,6:28:00 AM,Female,Driver,17 - 25,1
Australian Capital Territory,1990,7,6:45:00 AM,Male,Driver,26 - 39,1
Australian Capital Territory,1990,7,6:45:00 AM,Male,Driver,40 - 64,1
Australian Capital Territory,1990,7,9:30:00 AM,Female,Driver,40 - 64,1
Australian Capital Territory,1990,7,2:50:00 PM,Female,Passenger,>= 75,1
Australian Capital Territory,1990,7,4:30:00 PM,Male,Pedestrian,>= 75,1
Australian Capital Territory,1990,8,5:10:00 PM,Male,Motorcycle rider,26 - 39,1
Australian Capital Territory,1990,8,6:45:00 PM,Female,Driver,26 - 39,1
Australian Capital Territory,1990,8,11:20:00 PM,Female,Pedestrian,26 - 39,1
Australian Capital Territory,1990,9,9:20:00 PM,Male,Motorcycle rider,17 - 25,1
Australian Capital Territory,1990,10,1:40:00 PM,Male,Passenger,17 - 25,1
Australian Capital Territory,1990,10,1:55:00 PM,Female,Passenger,65 - 74,1
Australian Capital Territory,1990,10,9:00:00 PM,Male,Driver,17 - 25,1
