LGA,Fatalities
Adelaide (C),8
Adelaide Hills (DC),24
Albany (C),9
Albury,4
Alexandrina (DC),24
Alice Springs (T),16
Alpine (S),7
Anangu Pitjantjatjara (AC),7
Ararat (RC),7
Armadale (C),26
Armidale Regional,11
Ashburton (S),8
Augusta-Margaret River (S),10
Ballarat (C),14
Ballina,14
Balonne (S),2
Balranald,5
Banana (S),2
Banyule (C),10
Barcaldine (R),1
Barcoo (S),2
Barkly (R),21
Barossa (DC),22
Barunga West (DC),2
Bass Coast (S),6
Bassendean (T),2
Bathurst Regional,24
Baw Baw (S),11
Bayside,21
Bayside (C),9
Bayswater (C),11
Bega Valley,15
Bellingen,18
Belmont (C),6
Benalla (RC),12
Berri and Barmera (DC),5
Berrigan,5
Beverley (S),4
Blacktown,42
Bland,9
Blayney,5
Blue Mountains,9
Boddington (S),5
Bogan,5
Boroondara (C),16
Bourke,2
Boyup Brook (S),1
Break O'Day (M),4
Brewarrina,3
Bridgetown-Greenbushes (S),4
Brighton (M),10
Brimbank (C),24
Brisbane (C),55
Broken Hill,1
Brookton (S),9
Broome (S),8
Broomehill-Tambellup (S),8
Bruce Rock (S),6
Buloke (S),7
Bunbury (C),6
Bundaberg (R),36
Burdekin (S),8
Burke (S),1
Burnie (C),5
Burnside (C),5
Burwood,4
Busselton (C),17
Byron,11
Cabonne,16
Cairns (R),20
Cambridge (T),6
Camden,9
Campaspe (S),18
Campbelltown,17
Campbelltown (C) (SA),2
Canada Bay,9
Canning (C),12
Canterbury-Bankstown,41
Capel (S),11
Cardinia (S),27
Carnamah (S),3
Carnarvon,1
Carnarvon (S),5
Carrathool,4
Casey (C),26
Cassowary Coast (R),11
Ceduna (DC),3
Central Coast,79
Central Coast (M) (Tas.),7
Central Darling,3
Central Desert (R),12
Central Goldfields (S),6
Central Highlands (M) (Tas.),5
Central Highlands (R) (Qld),11
Cessnock,20
Chapman Valley (S),2
Charles Sturt (C),22
Charters Towers (R),5
Chittering (S),8
Circular Head (M),7
Clare and Gilbert Valleys (DC),9
Claremont (T),2
Clarence (C),11
Clarence Valley,50
Cleve (DC),1
Cloncurry (S),4
Cobar,3
Cockburn (C),25
Coffs Harbour,19
Colac-Otway (S),15
Collie (S),12
Cook (S),7
Coolamon,4
Coolgardie (S),7
Coomalie (S),3
Coonamble,1
Cootamundra-Gundagai,16
Copper Coast (DC),3
Corangamite (S),16
Corrigin (S),4
Cottesloe (T),1
Cowra,7
Cranbrook (S),1
Cuballing (S),1
Cue (S),2
Cumberland,28
Cunderdin (S),2
Dalwallinu (S),4
Dandaragan (S),8
Dardanup (S),14
Darebin (C),15
Darwin (C),22
Denmark (S),5
Derby - West Ki,1
Derby-West Kimberley (S),13
Derwent Valley (M),5
Devonport (C),5
Donnybrook-Balingup (S),9
Dorset (M),2
Douglas (S),2
Dubbo Regional,36
Dumbleyung (S),2
Dundas (S),9
Dungog,4
East Arnhem (R),7
East Gippsland (S),31
East Pilbara,1
East Pilbara (S),9
Edward River,6
Elliston (DC),1
Esperance,1
Esperance (S),7
Etheridge (S),3
Eurobodalla,20
Exmouth (S),2
Fairfield,38
Federation,10
Flinders Ranges (DC),1
Forbes,7
Franklin Harbour (DC),4
Frankston (C),20
Fraser Coast (R),12
Fremantle (C),9
Gannawarra (S),7
Gawler (T),4
Georges River,16
Gilgandra,7
Gingin (S),15
Gladstone (R),11
